cpc_group_id,cpc_subgroup_id,patent_abstract,patent_number,patent_title,patent_year
G16B,G16B20/00,Methods and systems for accelerated input data conversion include partially parsing an input data set to convert the data set from a first format to a second format in an intermediate output having at least one unparsed portion to quickly perform a majority of the conversion. The partial parsing operates on portions of the input data set having a size less than a threshold size and leaves portions of the input data having a size greater than the threshold size unparsed. The intermediate output is parsed to convert at least one unparsed portion from the first format to the second format in a final output to complete the conversion such that a combined parsing time of the partial parse of the input data set and the parse of the intermediate output is accelerated relative to a single-stage parsing.,10522241,Accelerating genomic data parsing on field programmable gate arrays,2019
G16B,G16B20/00,"Embodiments of the present invention provide methods, systems, and apparatus for deducing the fetal DNA fraction in maternal plasma without using paternal or fetal genotypes. Maternal genotype information may be obtained from a maternal-only DNA sample or may be assumed from shallow-depth sequencing of a biological sample having both maternal and fetal DNA molecules. Because sequencing may be at shallow depths, a locus may have only few reads and may fail to exhibit a non-maternal allele even if a non-maternal allele is present. However, normalized parameters that characterize non-maternal alleles sequenced can be used to provide an accurate estimate of the fetal DNA fraction, even if the amount of non-maternal alleles is in error. Methods described herein may not need high-depth sequencing or enrichment of specific regions. As a result, these methods can be integrated into widely used non-invasive prenatal testing and other diagnostics.",10457990,Accurate deduction of fetal DNA fraction with shallow-depth sequencing of maternal plasma,2019
G16B,G16B20/00,"Embodiments of the present disclosure present bioinformatic systems, methods, for allelic HLA typing (as well as and computer readable media having instructions for performing methods of HLA typing) using, for example, Illumina exome-sequencing data (e.g., 101 basepair, paired-end reads).",10176294,Accurate typing of HLA through exome sequencing,2019
G16B,G16B30/00,"Embodiments of the present invention include method, systems and computer program products for algebraic phasing of polyploids. Aspects of the invention include receiving a matrix including a set of two or more single-nucleotide poloymorphisms (SNPs) for two or more sample organisms. Each row of the matrix is set to a ploidy based on a number of ploidies present in the two or more sample organisms. Each allele in the set of two or more SNPs is represented as a binary number. A set of algebraic rules is received, wherein the set of algebraic rules include an algebraic phasing algorithm. And the set of algebraic rules are applied to the matrix to determine a haplotype of a parent of the two or more sample organisms.",10169531,Algebraic phasing of polyploids,2019
G16B,G16B30/00,"Embodiments of the present invention include method, systems and computer program products for algebraic phasing of polyploids. Aspects of the invention include receiving a matrix including a set of two or more single-nucleotide poloymorphisms (SNPs) for two or more sample organisms. Each row of the matrix is set to a ploidy based on a number of ploidies present in the two or more sample organisms. Each allele in the set of two or more SNPs is represented as a binary number. A set of algebraic rules is received, wherein the set of algebraic rules include an algebraic phasing algorithm. And the set of algebraic rules are applied to the matrix to determine a haplotype of a parent of the two or more sample organisms.",10176296,Algebraic phasing of polyploids,2019
G16B,G16B30/00,"Embodiments of the present invention include method, systems and computer program products for algebraic phasing of polyploids. Aspects of the invention include receiving a matrix including a set of two or more single-nucleotide poloymorphisms (SNPs) for two or more sample organisms. Each row of the matrix is set to a ploidy based on a number of ploidies present in the two or more sample organisms. Each allele in the set of two or more SNPs is represented as a binary number. A set of algebraic rules is received, wherein the set of algebraic rules include an algebraic phasing algorithm. And the set of algebraic rules are applied to the matrix to determine a haplotype of a parent of the two or more sample organisms.",10373707,Algebraic phasing of polyploids,2019
G16B,G16B30/00,A system and method of discovering sequence patterns with variations is provided. The method includes: accessing or acquiring a data set including a family of sequences or related families of sequences; a) applying a pattern discovery process to the sequences; b) grouping and aligning the similar patterns that may have different lengths into one or more Aligned Pattern Clusters; c) discovering the co-occurrence relation between Aligned Patterns and/or Aligned Pattern Clusters to reveal the distal function between segments represented by the aligned Pattern Clusters and d) breaking down an Aligned Pattern Cluster into sub-clusters with stable cluster configuration that reveals sub-clusters with distinct and shared characteristic among sub-family of the sequences.,10354745,Aligning and clustering sequence patterns to reveal classificatory functionality of sequences,2019
G16B,G16B15/00,"The invention provides compositions and methods for engineering E. coli or other host production bacterial strains to produce fucosylated oligosaccharides, and the use thereof in the prevention or treatment of infection.",10273516,"Alpha (1,2) fucosyltransferases suitable for use in the production of fucosylated oligosaccharides",2019
G16B,G16B30/00,"Factors affecting the fragmentation pattern of cell-free DNA (e.g., plasma DNA) and the applications, including those in molecular diagnostics, of the analysis of cell-free DNA fragmentation patterns are described. Various applications can use a property of a fragmentation pattern to determine a proportional contribution of a particular tissue type, to determine a genotype of a particular tissue type (e.g., fetal tissue in a maternal sample or tumor tissue in a sample from a cancer patient), and/or to identify preferred ending positions for a particular tissue type, which may then be used to determine a proportional contribution of a particular tissue type.",10453556,Analysis of fragmentation patterns of cell-free DNA,2019
G16B,G16B99/00,"An analysis system for biological samples is disclosed that includes at least one analyzer with an analytical unit for analyzing the biological samples and an analyzer controller. The analysis system further includes an analyzer data management system (ADMS) operable for receiving a selection of an operating environment chosen from multiple operating environments. In some embodiments, an analytical system is provided which offers a switch between sample testing and software validation on the same hardware, thereby offering efficiency and flexibility. For example, if sample testing is typically restricted to a particular time of the day (e.g., blood banks often get their samples in the evening and conduct the sample testing at night), the daytime hours can be used to validate new software. In such a case, additional instruments for software validation are not required and expensive idle times of analytical systems are reduced.",10311205,Analysis system for analyzing biological samples with multiple operating environments,2019
G16B,G16B50/00,"Embodiments related to analysis system for analyzing biological samples, a data processing method and a computer program product are disclosed. An analyzer is coupled to an control computer and has a control application program which receives control data, sends analytical data, and generates a host screen image. A remote computer is coupled to the control computer, and provides a data manager application program which sends the control data to the control computer, receives the analytical data, and generates a first window. A remote application program interoperates with a host application program which generates a second window containing a duplicate of the host screen image. A user interface program displays a first display window and a second display window, the first display window being one of the first and second windows and the second display window containing a screen shot of the other one of the first and second windows.",10248373,"Analysis system for analyzing biological samples, data processing method and computer program product",2019
G16B,G16B99/00,"Described and illustrated herein are systems and exemplary methods of operating an analyte measurement system having a meter and a test strip. In one embodiment, the method may be achieved by applying a first test voltage between a reference electrode and a second working electrode and applying a second test voltage between the reference electrode and a first working electrode; measuring a first test current, a second test current, a third test current and a fourth test current at the second working electrode after a blood sample containing an analyte is applied to the test strip; measuring a fifth test current at the first working electrode; estimating a hematocrit-corrected analyte concentration from the first, second, third, fourth and fifth test currents; and annunciating the hematocrit-corrected analyte concentration.",10429337,Analyte measurement method and system,2019
G16B,G16B5/00,"CNA biomarkers can include nucleic acid sequences that are present in circulating nucleic acids obtained from circulatory systems of a population known to have cancer, but that are rarely present, if at all, in circulating nucleic acids obtained from circulatory systems of a control population. Information is received describing one or more sequences obtained from circulating nucleic acids in a population known to have cancer. Information is also received describing one or more sequences obtained from circulating nucleic acids in a control population. A cluster analysis within a predetermined portion of a genome uses the one or more sequences in the circulating nucleic acids obtained from the population known to have cancer and the one or more sequences in the circulating nucleic acids obtained from the control population. Information is generated identifying one or more biomarkers for the cancer based on a cluster search within results of the cluster analysis.",10378064,Analyzing circulating nucleic acids to identify a biomarker representative of cancer presented by a patient population,2019
