cpc_group_id,cpc_subgroup_id,patent_abstract,patent_number,patent_title,patent_year
G16H,G16H50/20,A method for reconstructing 3-D vessel geometry of a vessel includes: receiving a plurality of 2-D rotational X-ray images of the vessel; extracting vessel centerline points for normal cross sections of each of the plurality of 2-D images; establishing a correspondence of the centerline points; constructing a 3-D centerline vessel tree skeleton of the vessel; constructing an initial 3-D vessel surface having a uniform radius normal to the 3-D centerline vessel tree skeleton; and constructing a target 3-D vessel surface by deforming the initial vessel surface to provide a reconstructed 3-D vessel geometry of the vessel.,9934566,3-D vessel tree surface reconstruction method,2018
G16H,G16H30/40,"A system and method for corrected imaging including an optical camera that captures at least one optical image of an area of interest, a depth sensor that captures at least one depth map of the area of interest, and circuitry that correlates depth information of the at least one depth map to the at least one optical image to generate a depth image, corrects the at least one optical image by applying a model to address alteration in the respective at least one optical image, the model using information from the depth image, and outputs the corrected at least one optical image for display in 2D and/or as a 3D surface.",10089737,3D corrected imaging,2018
G16H,G16H50/20,"A method and apparatus are used to compare an intended treatment plan using a radiation source with a delivered plan. This done by arranging markers at known three-dimensional (3D) positions in a detection reference system between a two dimensional radiation detector configured to acquire images generated by radiation emitted by the radiation source and an area where the radiation source is positioned during a treatment. The positions of projections of the markers on an image detected are determined when the radiation source is at a treatment position in an intended treatment plan reference system. A plurality of lines in the detection reference system are calculated, each line being defined by a 3D position of a marker and a 3D position of a corresponding projection of the marker on the detector according to the image. A 3D position of the radiation source in the detection reference system is inferred based on the calculated lines. If no correspondence between the detection reference system and the intended treatment plan reference system is available, the inferred 3D position is matched with the treatment position to extract the correspondence between the detection reference system and the an intended treatment plan reference system. If the correspondence between the detection reference system and the an intended treatment plan reference system is available, the inferred 3D position is compared with the treatment position.",10105554,3D tracking of an HDR source using a flat panel detector,2018
G16H,G16H30/20,"A medical image data processing method for determining a set of medical image data to be displayed, the data processing method being constituted to be executed by a computer and comprising the following steps: acquiring medical image data comprising three-dimensional medical image information describing an anatomical structure, and displaying the medical image information; acquiring navigation display feature data comprising navigation display feature information describing at least one graphical navigation feature; displaying the navigation display information simultaneously with the medical image information; acquiring viewing direction data comprising viewing direction information describing a spatial relationship of a viewing direction of a user relative to the position of the at least one graphical navigation feature; determining, based on the viewing direction data, image information subset data comprising image data subset information describing a subset of the medical image information to be selected for display.",9870446,3D-volume viewing by controlling sight depth,2018
G16H,G16H10/65,"Disclosed are various embodiments for providing access control to the underlying data of a single machine-readable identifier when read by various reader devices. A client device may receive a first cryptographic key associated with a first device profile and a second cryptographic key associated with a second device profile. Data provided through an ingestion process is formatted into at least a first portion of data and a second portion of data, where the first portion of data is intended for a first reader device and the second portion of data is intended for a second reader device. The first portion of data may be encrypted using the first cryptographic key while the second portion of data is encrypted using the second cryptographic key. A machine-readable identifier may be generated using the first portion of data as encrypted and the second portion of data as encrypted.",10157339,Access control for encrypted data in machine-readable identifiers,2018
G16H,G16H30/20,A system for accessing a database of a plurality of image data sets includes an acquisition unit which acquires a query for searching the database for an image data set or an image data subset comprised in an image data set. The query includes at least one medically relevant term which defines a search criteria. A determining unit determines the image data set or the image data subset included in the image data set based on the strength of semantic matches between the at least one medically relevant term and (a) corresponding medical annotation(s) describing the image data set. A retrieving unit retrieves the determined image data set or image data subset from the database.,9953040,Accessing medical image databases using medically relevant terms,2018
G16H,G16H40/63,"An apparatus, device, methods, computer program product, and system are described that provide a graphical illustration of a first possible outcome of a use of a treatment parameter with respect to at least one body portion, the first possible outcome based on at least one dataset associated with at least one predictive basis, and apply a filter criteria to the at least one dataset to provide a modified graphical illustration of a second possible outcome of the use of the treatment parameter.",10016249,Accessing predictive data,2018
G16H,G16H50/30,"A radiographic system may be configured to capture a first radiograph containing a first image of an object with the source and the receiver in a first orientation with respect to one another. The system may store the first radiograph and metadata representing vertical and horizontal positions of the first orientation. At least one of the source and the receiver may be moved so that the source and the receiver are in a second orientation with respect to one another. A second radiograph containing a second image of the object may be captured with the source and the receiver in the second orientation. The second radiograph may be stored in memory along with metadata representing vertical and horizontal positions of the second orientation. Based on the captured radiographs, a magnification of the object of interest, as represented by the first image or the second image, may be determined.",10004564,Accurate radiographic calibration using multiple images,2018
G16H,G16H50/30,"A radiographic system may be configured to capture a first radiograph containing a first image of an object with the source and the receiver in a first orientation with respect to one another. The system may store the first radiograph and metadata representing vertical and horizontal positions of the first orientation. At least one of the source and the receiver may be moved so that the source and the receiver are in a second orientation with respect to one another. A second radiograph containing a second image of the object may be captured with the source and the receiver in the second orientation. The second radiograph may be stored in memory along with metadata representing vertical and horizontal positions of the second orientation. Based on the captured radiographs, a magnification of the object of interest, as represented by the first image or the second image, may be determined.",10149724,Accurate radiographic calibration using multiple images,2018
G16H,G16H20/30,"Activities, actions and events during user performance of physical activity may be detected using various algorithms and templates. Templates may include an arrangement of one or more states that may identify particular event types and timing between events. Templates may be specific to a particular type of activity (e.g., types of sports, drills, events, etc.), user, terrain, time of day and the like.",9962111,Action detection and activity classification,2018
