cpc_group_id,cpc_subgroup_id,patent_abstract,patent_number,patent_title,patent_year
Y02D,Y02D10/14,"An embodiment is a memory card including a rectangular printed circuit card having a first side and a second side, a first length of between 151.35 and 161.5 millimeters, and first and second ends having a second length smaller than the first length. The memory card also includes a first plurality of pins on the first side extending along a first edge of the rectangular printed circuit card that extends along a length of the card, a second plurality of pins on the second side extending on the first edge of the rectangular printed circuit card, and a positioning key having its center positioned on the first edge of the rectangular printed circuit card and located between 94.0 and 95.5 millimeters from the first end of the rectangular printed circuit card. The memory card also includes a memory module, a hub device and pins for boundary scan signals.",10007306,276-pin buffered memory card with enhanced memory system interconnect,2018
Y02D,Y02D10/14,"To detect an abnormality in an interrupt control system without completely depending on dualization of a circuit, without the need to create a test pattern for a built-in self-test by spending time, and without considerably increasing an amount of power consumption. A test interrupt request is generated periodically using a timer or the like in an interrupt signal system from an interrupt controller to a central processing unit, the state of an interrupt request flag within the interrupt controller is checked in an interrupt processing routine, and in the case where it is detected that the same interrupt request flag is kept in a set state twice or more in succession, it is supposed that there is a high possibility that a failure has occurred in the interrupt signal system and it is considered that there is an abnormality.",10042791,Abnormal interrupt request processing,2018
Y02D,Y02D70/00,"A system and method for managing power in a subnet having a hub in communication with one or more nodes is disclosed. The hub and nodes communicate using one or more non-contention access methods, such as scheduled, polled or posted access. The node may enter a sleep or hibernation state while no scheduled, polled or posted allocation interval is pending. The hibernation state allows the node to hibernate through one or more entire beacon periods. In the sleep state, the node may be asleep between any scheduled, polled and posted allocation intervals for the node or during another node's scheduled allocation interval in a current beacon period. By selecting which access scheme is in use, the node and hub can increase the node's chances to be in hibernation or sleep state and minimize power consumption.",10080195,Access and power management for centralized networks,2018
Y02D,Y02D10/13,A first threshold number of cache lines may be fetched to populate each of the ways of a first cache set of a higher level cache and each of the ways of a first cache set of a lower level cache. A second threshold number of cache lines may be fetched to map to the first cache set of the higher level cache and a second cache set of the lower level cache. The first threshold number of cache lines may be accessed from the second from the first cache set of the lower level cache.,9965391,Access cache line from lower level cache,2018
Y02D,Y02D70/00,"Concepts and technologies described herein relate to an enhancement to an access network discovery and selection function (“ANDSF”) with a cell-type management object (“MO”) within an ANDSF MO tree. According to one aspect disclosed herein, a system including an ANDSF can generate a policy for network selection. The policy can include network selection criteria based upon a cell-type. The cell-type may be a small cell cell-type, a macro cell cell-type, or a multi-standard metro cell (“MSMC”) cell-type. The network selection criteria can be further based upon WI-FI availability. The system can send the policy to a mobile device. The mobile device can utilize the policy to select a network. In some embodiments, the network selection criteria includes network load information, local device information, user profile information, or some combination thereof.",10091721,Access network discovery and selection function enhancement with cell-type management object,2018
Y02D,Y02D70/164,"An access network for terminals of a digital telecommunications system includes base stations adapted for receiving radiofrequency signals emitted by the terminals, each terminal a physical layer processing module adapted to form a radiofrequency signal on the basis of binary data in accordance with a predefined physical layer protocol. Moreover, for at least one base station, termed the “partial station”, an inverse physical layer processing, making it possible to extract binary data from a radiofrequency signal, is distributed between the partial station and a processing server distinct from the partial station, an inverse physical layer processing module being made up of a first inverse processing module, integrated into the partial station, and a second inverse processing module, integrated into the processing server. The invention also relates to a method of digital telecommunications.",10056970,Access network for digital telecommunications system and method of digital telecommunications,2018
Y02D,Y02D70/00,"A technique including determining that a first access node serving a communication device is currently in a dormant, first state in which said first access node is not receiving radio transmissions; and controlling a radio transmitter or radio transceiver at said communication device to transmit a radio signal that triggers at least one second access node to alert said first access node of a request for said first access node to switch from said first state to a second state in which said first access node receives radio transmissions.",10159040,Access node dormancy,2018
Y02D,Y02D70/142,"Provided is an access point (AP) for providing wireless communication to a plurality of stations (STAs), the AP including a type determiner to determine a type of each of the plurality of STAs, and an association identification (AID) allocator to allocate AIDs to the plurality of STAs, respectively, based on the determined type such that AIDs corresponding to an identical type among the allocated AIDs are clustered.",9907019,Access point (AP) for allocating association identification (AID) based on type of stations (STAS) and operation method of AP,2018
Y02D,Y02D70/00,"Embodiments of an access point (AP), station (STA) and method for subcarrier scaling are generally described herein. The AP may transmit a high efficiency (HE) physical layer convergence procedure (PLCP) protocol data unit (PPDU) that includes a legacy long training field (L-LTF), a legacy signal (L-SIG) field, and an HE signal (HE-SIG) field. The HE-SIG may be based on HE-SIG symbols mapped to a group of HE subcarriers that includes legacy subcarriers and HE extension subcarriers. The L-LTF may be based on L-LTF pilot symbols mapped to the legacy subcarriers. The L-SIG may be based on L-SIG legacy symbols mapped to the legacy subcarriers and L-SIG extension pilot symbols mapped to the HE extension subcarriers. The AP may scale a per-subcarrier power of the L-SIG extension pilot symbols to match a per-subcarrier power of the L-LTF pilot symbols.",10009840,"Access point (AP), Station (STA) and method for subcarrier scaling",2018
Y02D,Y02D70/00,Described embodiments provide an access point for forming multiple service zones within a corresponding cell. The access point may include a first access point module and a second access point module. The first access point module may be configured to form a first service zone for first user equipment located at a center area of the cell. The second access point module may be configured to form a second service zone for second user equipment located at an edge area of the cell.,9918236,"Access point having multichannel and multi transmission power, cell formation method",2018
Y02D,Y02D70/1262,"Embodiments include systems and methods for managing resource consumption by a processor of a wireless access point. The processor may monitor associations and dissociations of one or more client devices with the access point, and may monitor a network load of the access point. The processor may determine whether the network load is below a load threshold, and may determine radio capabilities of one or more client devices associated with the access point. The processor may select a radio of the access point based on the determined radio capabilities of one or more client devices associated with the access point, and may place the selected radio of the access point in a low-power mode.",9948534,Access point resource consumption management,2018
Y02D,Y02D70/142,"An access point, a terminal, and a Wireless Fidelity indoor positioning method are provided. The method includes: receiving, by a first access point, a first positioning signal sent by a terminal, and recording a moment for receiving the first positioning signal as a first moment t1; receiving, a second positioning signal sent by an ith second access point in n second access points, and recording a fourth moment ti4; sending, a response signal of the second positioning signal to the ith second access point, and recording a fifth moment ti5; receiving, a second moment ti2, a third moment ti3, and a sixth moment ti6 that are sent by the ith second access point; and determining, location coordinates of the terminal. In the embodiments of the present disclosure, clock synchronization is not required. In addition, terminal positioning accuracy is improved.",9952308,"Access point, terminal, and wireless fidelity WiFi indoor positioning method",2018
Y02D,Y02D70/00,"Some embodiments relate to an accessory device that may operate in a first mode, where the first radio of the accessory device is configured to perform cellular communication with a base station, or a second mode, where the second radio of the accessory device is configured to perform short-range communication with a companion device and utilize cellular functionality of the companion device to provide cellular communications through the companion device to the base station. The accessory device may operate to selectively transition between the first mode and the second mode based on one or more factors, such as signal strength of the short-range communication between the accessory device and the companion device, the relative batter level of the two devices, and/or a communications status of the companion device.",9860833,Accessory device which transitions between an autonomous mode and a companion device relay mode for cellular communication,2018
Y02D,Y02D70/00,"An antenna for transmitting electromagnetic radiation. The antenna comprises a core further comprising at least one layer of contiguous core material and windings disposed on the core forming a plurality or winding segments. The windings define gaps between each winding segment, wherein parameters of the gaps and parameters of the windings are selected to generate a balanced magnetic field. A material of the core comprises an amorphous or annealed material, further comprising metal or alloys, comprising one or more of nickel or nano-crystalline or nano-materials.",10074888,Accordion antenna structure,2018
Y02D,Y02D10/174,"Achieving a consistent battery drain rate at a computing device includes identifying an amount of available battery energy, and identifying a target device runtime using the available energy. A plurality of time periods over which to budget energy use to achieve the target device runtime are identified, and an allotment of the available energy for each of the plurality of time periods is determined. A determination of how to allocate the allotted energy for a current time period is made. The determination includes identifying a priority of each application based user-facing attributes of each application, identifying an energy budget for each application, and allocating a portion of the allotted energy for the current time period to each application based on their identified priority and their energy budget. The energy budget for at least one application is adjusted based on that applications' energy usage during the current time period.",10114439,Achieving a consistent computing device battery drain rate,2018
