cpc_group_id,cpc_subgroup_id,patent_abstract,patent_number,patent_title,patent_year
G16B,G16B25/00,"A novel electronic system provides fast three-dimensional model generation, social content sharing of dynamic three-dimensional models, and monetization of the dynamic three-dimensional models created by casual consumers. In one embodiment, a casual consumer utilizes a dedicated real-time 3D model reconstruction studio with multiple camera angles, and then rapidly create dynamic 3D models with novel computational methods performed in scalable graphics processing units. In another embodiment, uncalibrated multiple sources of video recording of a targeted object are provided by a plurality of commonly-available consumer video recording devices (e.g. a smart phone, a camcorder, a digital camera, etc.) located at different angles, after which the uncalibrated multiple sources of video recording are transmitted to a novel cloud computing system for real-time temporal, spatial, and photometrical calibration and 3D model reconstruction. The dynamic 3D models can be uploaded, listed, and shared among content creators and viewers in an electronic sharing platform.",10116913,3D virtual reality model sharing and monetization electronic platform system,2018
G16B,G16B40/00,"Various embodiments for methods and systems that allow for a more accurate analyte concentration with a biosensor by determining at least one physical characteristic of the sample containing the analyte and deriving one of a batch slope, sampling time, or combinations thereof to attain accurate glucose concentration.",9903830,Accurate analyte measurements for electrochemical test strip based on sensed physical characteristic(s) of the sample containing the analyte,2018
G16B,G16B40/00,"Various embodiments for a method that allow for a more accurate analyte concentration with a biosensor by determining at least one physical characteristic, typically hematocrit, of the sample containing the analyte and deriving from this characteristic a parameter relating to the biosensor to attain accurate glucose concentration.",9903831,Accurate analyte measurements for electrochemical test strip based on sensed physical characteristic(s) of the sample containing the analyte and derived biosensor parameters,2018
G16B,G16B30/00,"Accurate and fast mapping of sequencing reads obtained from a targeted sequencing procedure can be provided. Once a target region is selected, alternate regions of the genome that are sufficiently similar to the target region can be identified. If a sequencing read is more similar to the target region than to an alternate region, then the read can be determined as aligning to the target region. The reads aligning to the target region can then be analyzed to determine whether a mutation exists in the target region. Accordingly, a sequencing read can be compared to the target region and the corresponding alternate regions, and not to the entire genome, thereby providing computational efficiency.",10127351,Accurate and fast mapping of reads to genome,2018
G16B,G16B99/00,A method of measuring and calculating (preferably by a computer with output to a user) tGSH (total glutathione very particularly defined) with sample preparation and assay methods that have been confirmed to provide accurate and reliable tGSH and related diagnostic assays in blood or tissue from a patient.,9869684,Accurate measurement of glutathione for disease diagnosis and drug metabolite screening,2018
G16B,G16B30/00,"A system includes a plurality of nanopore cells. Data corresponding to nanopore states of the plurality of nanopore cells is received. The data is analyzed to determine a compressed output size of the data given at least one compression technique. It is determined whether the compressed output size exceeds a data budget. In the event it is determined that the compressed output size exceeds the data budget, the data is modified. The modified data is outputted.",10102338,Adaptive compression and modification of nanopore measurement data,2018
G16B,G16B40/00,"A system for comparing a biometric sample against a biometric dataset is provided. In one embodiment, a system for comparing a biometric sample against a biometric dataset comprises a database storing at least one biometric dataset. The system may also comprise a comparison module configured to iteratively provide a comparison score for each record in the biometric dataset, wherein the comparison score indicates a likelihood of match between an individual record in the biometric dataset and the biometric sample; wherein, during each iteration. The steps in the iteration may comprise retrieving a model of each of the plurality of records. The steps in the iteration may also comprise comparing the model of each of the plurality of records against the biometric sample. The steps in the iteration may also comprise generating the comparison score for each of the plurality of records. The steps in the iteration may also comprise iteratively compare the biometric sample against a plurality of records. The steps in the iteration may also comprise wherein the resolution of the retrieved model increases with each iteration, and where the iterative process continues until a final list of potential match candidates is determined. The system may also comprise a processor configured to receive data indicative of the biometric sample and iteratively engage the comparison model such that results of the first iteration are provided as an input to a second iterator.",10025831,Adaptive short lists and acceleration of biometric database search,2018
G16B,G16B15/00,Affinity peptide ligands of mouse polyomavirus capsomers and a designed screening method thereof. The affinity peptide ligands can be used for separation and purification of the capsomers.,9920094,Affinity peptide ligand of mouse polyoma virus capsomer and designed screening method thereof,2018
G16B,G16B40/00,"The present invention relates to compositions and methods for molecular profiling and diagnostics for genetic disorders and cancer, including but not limited to gene expression product markers associated with cancer or genetic disorders. In particular, the present invention provides algorithms and methods of classifying cancer, for example, thyroid cancer, methods of determining molecular profiles, and methods of analyzing results to provide a diagnosis.",9856537,Algorithms for disease diagnostics,2018
G16B,G16B30/00,The invention provides methods of determining a consensus sequence from multiple raw sequencing reads of a nucleic acid target. The nucleic acid target includes an anchor segment of known sequence and an adjacent segment of unknown sequence. The anchor segment provides a means to assess the quality of a raw target sequencing read. Raw target sequencing reads meeting or exceeding a threshold are assigned to an accepted class. The consensus sequence of the adjacent segment can be determined from raw target sequencing reads in the accepted class. Successive polling steps determine successive consensus nucleobases in a nascent sequence of the adjacent segment. Raw target sequencing reads can be removed or reintroduced from the accepted class depending on their correspondence to the most recently determined consensus nucleobase and/or the nascent sequence.,10152569,Algorithms for sequence determinations,2018
G16B,G16B30/00,"Methods and compositions for detecting an allelic form of a target. In an exemplary method, partitions may be created that collectively contain at least one first allelic form and a second allelic form of a target. Each partition may contain (i) a same probe capable of binding specifically to each of the first and second allelic forms of the target and (ii) a competitor configured to bind selectively to the second allelic form relative to the first allelic form and to block binding of the probe to the second allelic form. The first allelic form of the target may be amplified in the partitions. A signal may be detected from a label of the probe while the label is contained by the partitions. A number of partitions that are positive (or negative) for the at least one first allelic form may be determined based on the signal.",9868981,Amplification assay with a probe competitor,2018
G16B,G16B30/00,The invention provides an improved method for obtaining information about DNA analysis of samples of uncertain origin by establishing the likelihood that they arose in certain manners compared with other possible manners. In this way all of the analysis information is taken into account and likelihood ratios are provided to express the results. The invention is particularly useful in analyzing small DNA samples or DNA samples where the contribution from one or more sources is small.,10007754,Analysis of DNA samples,2018
G16B,G16B40/00,"Analysis system and computer implemented method for analyzing biological samples are disclosed. The system has at least one analyzer for performing an analysis and a decision unit being operable to determine in response to the receipt of the analysis request whether results obtained from performing the analysis on the sample indicated in the analysis request are valid. This determination is executed by retrieving the meta information assigned to the sample and by applying the at least one condition on the meta information and wherein the at least one applied condition has at least a condition on whether the sample allows a valid analysis on the sample, and wherein the decision unit returns the decision that the analysis exercised on the indicated sample will return a valid result in case the conditions of the condition set are met by the sample.",10013526,Analysis system and computer implemented method for analyzing biological samples,2018
G16B,G16B5/00,"The invention relates to the C-terminal fragment of angiopoietin-related protein 4 [cAngptl4] as a diagnostic marker for viral and bacterial pneumonia; anti-angiopoietin-related protein 4 therapeutic antibodies, and the use of anti-angiopoietin-related protein 4 antibodies in the treatment of viral and bacterial pneumonia.",10160803,Angiopoietin-related protein 4 (cAngptl4) as a diagnostic biomarker for acute lung damage,2018
G16B,G16B35/00,The invention relates to anti-sigma factors (“anti-sigmas”) that bind to sigma factors and block activation of transcription. Anti-sigmas and their cognate sigma factors provide a highly effective mechanism for regulating gene expression in genetic circuits.,10030320,Anti-sigmas for programmable transcriptional regulation,2018
G16B,G16B35/00,The present invention overcomes the inadequacies inherent in the known methods for generating libraries of antibody-encoding polynucleotides by specifically designing the libraries with directed sequence and length diversity.,10138478,Antibody libraries,2018
G16B,G16B40/00,"One embodiment of the invention provides a method of processing cell culture data. The data comprises results from a large number of samples, the results being obtained by performing multiple stages of cell culture in succession on each sample. Each stage represents a cell culture treatment having a particular set of conditions, such that each sample follows a protocol specified by the identity and order of the treatments applied to the cell culture. The method includes specifying a subset of the samples that yielded a desired cell culture outcome. The method further includes performing a computer-implemented analysis of the results from the samples in the subset to produce an ordering or grouping for the results. The ordering or grouping helps to identify one or more protocols that are effective for obtaining the desired cell culture outcome. The analysis for producing the ordering or grouping utilizes information on similarities between different protocols.",9946834,Apparatus and method for processing cell culture data,2018
